"date","CO_CENTENARIO","NO2_CENTENARIO","PM10_CENTENARIO","CO_CORDOBA","NO2_CORDOBA","PM10_CORDOBA","CO_LA_BOCA","NO2_LA_BOCA","PM10_LA_BOCA"
2009-10-01 14:00:00,NA,20,NA,NA,27,NA,NA,NA,NA
2009-10-01 15:00:00,0.48,25,NA,NA,30,NA,0.16,25,NA
2009-10-01 16:00:00,0.48,31,NA,NA,32,NA,0.14,23,NA
2009-10-01 17:00:00,0.46,38,NA,NA,31,NA,0.12,24,NA
2009-10-01 18:00:00,0.48,39,NA,NA,33,NA,0.11,25,NA
2009-10-01 19:00:00,0.5,39,NA,NA,35,NA,0.14,30,NA
2009-10-01 20:00:00,0.54,36,NA,NA,32,NA,0.15,30,NA
2009-10-01 21:00:00,0.58,31,NA,NA,34,NA,0.16,33,NA
2009-10-01 22:00:00,0.6,36,NA,NA,33,NA,0.16,29,NA
2009-10-01 23:00:00,0.63,37,NA,NA,34,NA,0.16,30,NA
2009-10-02 00:00:00,0.64,35,NA,NA,32,NA,0.16,31,NA
2009-10-02 01:00:00,0.68,35,NA,NA,30,NA,0.19,34,NA
2009-10-02 02:00:00,0.69,35,NA,NA,32,NA,0.21,33,NA
2009-10-02 03:00:00,0.68,34,NA,NA,24,NA,0.23,32,NA
2009-10-02 04:00:00,0.64,34,NA,NA,18,NA,0.25,30,NA
2009-10-02 05:00:00,0.64,34,NA,NA,20,NA,0.26,30,NA
2009-10-02 06:00:00,0.64,32,NA,NA,26,NA,0.27,30,NA
2009-10-02 07:00:00,0.65,30,NA,NA,37,NA,0.33,35,NA
2009-10-02 08:00:00,0.7,35,NA,NA,42,NA,0.45,39,NA
2009-10-02 09:00:00,0.69,38,NA,NA,37,NA,0.64,46,NA
2009-10-02 10:00:00,0.68,33,NA,NA,39,NA,0.78,45,NA
2009-10-02 11:00:00,NA,29,NA,NA,35,NA,0.81,39,NA
2009-10-02 12:00:00,NA,NA,NA,NA,24,NA,0.82,37,NA
2009-10-04 13:00:00,0.24,9,NA,NA,6,NA,0.06,11,NA
2009-10-04 14:00:00,0.23,9,NA,NA,7,NA,0.07,11,NA
2009-10-04 15:00:00,0.21,10,NA,NA,11,NA,0.08,13,NA
2009-10-04 16:00:00,0.21,15,NA,NA,15,NA,0.09,17,NA
2009-10-04 17:00:00,0.23,21,NA,NA,22,NA,0.1,20,NA
2009-10-04 18:00:00,0.25,27,NA,NA,24,NA,0.11,23,NA
2009-10-04 19:00:00,0.29,32,NA,NA,28,NA,0.11,19,NA
2009-10-04 20:00:00,0.35,37,NA,NA,27,NA,0.13,28,NA
2009-10-04 21:00:00,0.41,37,NA,NA,28,NA,0.16,26,NA
2009-10-04 22:00:00,0.45,32,NA,NA,24,NA,0.18,22,NA
2009-10-04 23:00:00,0.49,28,NA,NA,22,NA,0.18,22,NA
2009-10-05 00:00:00,0.51,29,NA,NA,21,NA,0.18,21,NA
2009-10-05 01:00:00,0.51,22,NA,NA,21,NA,0.17,16,NA
2009-10-05 02:00:00,0.5,20,NA,NA,19,NA,0.16,17,NA
2009-10-05 03:00:00,0.46,19,NA,NA,17,NA,0.15,14,NA
2009-10-05 04:00:00,0.4,19,NA,NA,11,NA,0.13,11,NA
2009-10-05 05:00:00,0.34,14,NA,NA,12,NA,0.1,11,NA
2009-10-05 06:00:00,0.3,14,NA,NA,19,NA,0.08,14,NA
2009-10-05 07:00:00,0.29,25,NA,NA,35,NA,0.08,28,NA
2009-10-05 08:00:00,0.34,35,NA,NA,37,NA,0.1,32,NA
2009-10-05 09:00:00,0.44,28,NA,NA,37,NA,0.14,28,NA
2009-10-05 10:00:00,0.51,22,NA,NA,38,NA,0.18,22,NA
2009-10-05 11:00:00,0.59,20,NA,NA,37,NA,0.2,16,NA
2009-10-05 12:00:00,0.63,19,NA,NA,36,NA,0.21,19,NA
2009-10-05 13:00:00,0.69,23,NA,NA,38,NA,NA,29,NA
2009-10-05 14:00:00,0.73,22,NA,NA,36,NA,NA,35,NA
2009-10-05 15:00:00,0.74,20,NA,NA,39,NA,NA,34,NA
2009-10-05 16:00:00,0.7,21,NA,NA,43,NA,NA,34,NA
2009-10-05 17:00:00,0.63,22,NA,NA,46,NA,NA,35,NA
2009-10-05 18:00:00,0.6,32,NA,NA,48,NA,NA,43,NA
2009-10-05 19:00:00,0.6,63,NA,NA,45,NA,NA,36,NA
2009-10-05 20:00:00,0.64,77,NA,NA,45,NA,NA,32,NA
2009-10-05 21:00:00,0.69,48,NA,NA,45,NA,NA,34,NA
2009-10-05 22:00:00,0.76,47,NA,NA,42,NA,NA,35,NA
2009-10-05 23:00:00,0.76,39,NA,NA,40,NA,NA,27,NA
2009-10-06 00:00:00,0.75,31,NA,NA,34,NA,NA,25,NA
2009-10-06 01:00:00,0.73,28,NA,NA,19,NA,NA,17,NA
2009-10-06 02:00:00,0.66,24,NA,NA,17,NA,NA,13,NA
2009-10-06 03:00:00,0.58,12,NA,NA,20,NA,NA,7,NA
2009-10-06 04:00:00,0.49,12,NA,NA,41,NA,NA,8,NA
2009-10-06 05:00:00,0.36,8,NA,NA,60,NA,NA,9,NA
2009-10-06 06:00:00,0.23,13,NA,NA,62,NA,NA,10,NA
2009-10-06 07:00:00,0.19,21,NA,NA,38,NA,NA,18,NA
2009-10-06 08:00:00,0.19,26,NA,NA,38,NA,NA,25,NA
2009-10-06 09:00:00,0.24,30,NA,NA,41,NA,NA,29,NA
2009-10-06 10:00:00,0.3,37,NA,NA,40,NA,NA,31,NA
2009-10-06 11:00:00,0.35,31,NA,NA,42,NA,NA,25,NA
2009-10-06 12:00:00,0.39,27,NA,NA,37,NA,NA,13,NA
2009-10-06 13:00:00,0.41,24,NA,NA,40,NA,NA,12,NA
2009-10-06 14:00:00,0.44,22,NA,NA,34,NA,NA,10,NA
2009-10-06 15:00:00,0.46,23,NA,NA,31,NA,NA,9,NA
2009-10-06 16:00:00,0.45,23,NA,NA,34,NA,NA,10,NA
2009-10-06 17:00:00,0.4,23,NA,NA,36,NA,NA,12,NA
2009-10-06 18:00:00,0.36,29,NA,NA,42,NA,NA,12,NA
2009-10-06 19:00:00,0.36,30,NA,NA,43,NA,NA,15,NA
2009-10-06 20:00:00,0.38,32,NA,NA,39,NA,NA,19,NA
2009-10-06 21:00:00,0.4,34,NA,NA,34,NA,NA,23,NA
2009-10-06 22:00:00,0.43,32,NA,NA,36,NA,NA,23,NA
2009-10-06 23:00:00,0.43,28,NA,NA,33,NA,NA,21,NA
2009-10-07 00:00:00,0.44,30,NA,NA,33,NA,NA,18,NA
2009-10-07 01:00:00,0.44,30,NA,NA,32,NA,NA,26,NA
2009-10-07 02:00:00,0.43,31,NA,NA,31,NA,NA,30,NA
2009-10-07 03:00:00,0.39,32,NA,NA,29,NA,NA,30,NA
2009-10-07 04:00:00,0.35,22,NA,NA,27,NA,NA,26,NA
2009-10-07 05:00:00,0.3,19,NA,NA,25,NA,NA,19,NA
2009-10-07 06:00:00,0.26,24,NA,NA,27,NA,NA,24,NA
2009-10-07 07:00:00,0.26,34,NA,NA,33,NA,NA,25,NA
2009-10-07 08:00:00,0.31,41,NA,NA,NA,NA,NA,28,NA
2009-10-07 09:00:00,0.38,40,NA,NA,NA,NA,NA,28,NA
2009-10-07 10:00:00,0.41,38,NA,NA,NA,NA,NA,23,NA
2009-10-07 11:00:00,0.45,31,NA,NA,NA,NA,NA,17,NA
